!#Experiment  Id= 2.3:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Isorapid227HM
!time	t1	t2	t3	t4
60	247.496344	328.268123	490.684781	311.818955
60.5	245.952952	326.644646	487.435515	310.161025
61	244.446652	324.762428	484.180554	308.774352
61.5	242.906546	322.675858	480.97302	307.585047
62	241.581724	320.78561	477.803331	306.527391
62.5	240.032646	319.072682	474.700722	305.08979
63	238.435403	317.524291	471.596888	303.504433
63.5	236.871893	315.6985	468.532464	301.988153
64	235.312468	313.87818	465.516934	300.174769
64.5	233.67853	312.04317	462.534331	298.196348
65	232.006404	310.297107	459.590989	296.553962
65.5	230.460176	308.63135	456.669344	294.958176
66	228.903809	306.721212	453.763856	293.301914
66.5	226.78165	305.298264	450.914101	292.030691
67	224.512135	303.910862	448.072032	290.787527
67.5	223.015415	302.537045	445.270213	289.137258
68	221.975968	300.872373	442.486001	287.459421
68.5	220.978318	299.591427	439.770187	285.632764
69	219.769731	298.572869	437.046858	284.223758
69.5	218.453129	296.959902	434.36244	283.156921
70	217.372751	295.370397	431.705706	281.646721
70.5	216.255607	294.095547	429.074423	280.017381
71	215.098423	292.975927	426.450555	278.194661
71.5	213.910918	291.573502	423.849657	276.506745
72	212.537974	290.19271	421.30468	275.258192
72.5	211.020288	289.056947	418.755631	274.220729
73	209.250129	287.83775	416.234148	273.304146
73.5	207.706823	286.340081	413.751905	272.02199
74	206.768724	285.07026	411.299246	270.565733
74.5	205.683458	284.255973	408.845143	269.40364
75	204.411855	283.198184	406.440919	268.310288
75.5	203.192991	281.579523	404.043654	267.199841
76	202.100926	279.584651	401.688412	265.717225
76.5	201.012615	277.834506	399.356057	264.256212
77	199.623558	276.236039	397.049266	263.029088
77.5	198.334812	274.866119	394.789047	261.939391
78	197.126194	273.512448	392.496846	260.890897
78.5	195.999155	272.351535	390.281985	259.789254
79	195.172477	271.242496	388.061468	258.670889
79.5	194.473159	270.352266	385.855857	257.648538
80	193.48444	268.847072	383.685302	256.346441
80.5	192.499367	267.273875	381.50074	255.026016
81	191.50537	265.798129	379.35771	253.919979
81.5	190.510846	264.641219	377.220845	252.80129
82	189.718546	263.657455	375.140423	251.662838
82.5	189.018503	262.708126	373.05338	250.513523
83	188.150418	261.305857	370.975005	249.457328
83.5	186.984943	259.754974	368.897554	248.247336
84	185.883076	257.889716	366.891311	247.057125
84.5	184.911019	256.543225	364.886932	246.040427
85	183.913572	255.737649	362.889966	245.08686
85.5	182.967651	254.866206	360.909298	244.269275
86	182.273668	253.897729	358.943387	243.405249
86.5	181.520284	252.716584	356.99158	242.490366
87	180.351935	251.529115	355.043005	241.614663
87.5	179.2347	250.124875	353.127648	240.871755
88	178.431608	248.722078	351.227315	240.065146
88.5	177.694733	247.297343	349.32312	238.899828
89	176.900841	246.422039	347.460627	237.638883
89.5	176.106549	245.32246	345.593834	236.265588
90	175.344703	244.378474	343.767437	234.997084
90.5	174.265061	243.152084	341.939631	234.052089
91	173.206766	242.053055	340.153137	233.35395
91.5	172.285755	240.801792	338.332064	232.551595
92	171.551558	239.493984	336.597738	231.79583
92.5	170.807213	237.967283	334.830156	230.987224
93	169.992456	236.82722	333.076067	230.136582
93.5	169.194576	235.830157	331.37136	229.160723
94	168.279113	234.901835	329.638025	227.91464
94.5	167.428017	233.783203	327.923083	226.444442
95	166.74544	232.754497	326.237692	225.103466
95.5	166.009956	231.648084	324.548834	223.889132
96	165.274135	230.820967	322.875022	222.833554
96.5	164.480573	229.765003	321.232782	221.855637
97	163.672298	228.959937	319.614982	220.82251
97.5	162.991045	228.24959	318.007328	219.771891
98	162.31317	227.262421	316.387232	218.991636
98.5	161.425946	226.501239	314.807901	218.311569
99	160.520377	225.361045	313.232218	217.396941
