!#Experiment  Id= 1.1:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Aquatensid BW (5%)
!t	t1	t2	t3	t4
67.5	44.233981	54.826836	71.691762	62.694234
68	44.078483	54.325871	70.420568	62.024621
68.5	43.93929	53.799546	69.228635	61.361801
69	43.832504	53.329139	68.064686	60.732921
69.5	43.716865	52.844183	66.969454	60.096927
70	43.606885	52.396491	65.909348	59.499604
70.5	43.47603	51.934474	64.879656	58.946366
71	43.342893	51.518093	63.908167	58.409388
71.5	43.239004	51.083108	62.976519	57.879241
72	43.136467	50.660182	62.05759	57.342894
72.5	43.002158	50.272339	61.213288	56.830009
73	42.922973	49.896358	60.41674	56.309571
73.5	42.814056	49.490028	59.594117	55.815306
74	42.756189	49.092391	58.865075	55.371303
74.5	42.672903	48.736434	58.118722	54.932142
75	42.610264	48.386263	57.408513	54.491074
75.5	42.526513	48.042106	56.739869	54.010726
76	42.457283	47.68769	56.102706	53.569876
76.5	42.383056	47.445785	55.476578	53.163148
77	42.304057	47.184389	54.871389	52.844183
77.5	42.283398	46.938097	54.298185	52.532366
78	42.193267	46.71506	53.762171	52.195023
78.5	42.152854	46.444471	53.220808	51.884884
79	42.100632	46.180842	52.691887	51.535454
79.5	42.035238	45.918066	52.19322	51.186848
80	42.006173	45.683083	51.742641	50.831847
80.5	41.950539	45.465947	51.275247	50.55054
81	41.905575	45.277311	50.818765	50.276401
81.5	41.855387	45.101104	50.412461	50.040578
82	41.826317	44.919435	50.012141	49.803137
82.5	41.779078	44.74046	49.63361	49.55866
83	41.732063	44.578454	49.261078	49.29382
83.5	41.713893	44.444302	48.912843	49.030963
84	41.662334	44.304923	48.570848	48.777997
84.5	41.653475	44.177315	48.225154	48.527923
85	41.60055	44.046293	47.920738	48.295204
85.5	41.550576	43.911177	47.631174	48.070355
86	41.547168	43.802802	47.349011	47.876211
86.5	41.507414	43.679224	47.075836	47.697411
87	41.499236	43.545882	46.800117	47.517909
87.5	41.456754	43.429536	46.535428	47.325947
88	41.46834	43.297301	46.291279	47.149337
88.5	41.415634	43.199759	46.057495	46.94443
89	41.402003	43.090867	45.840196	46.772746
89.5	41.387917	42.980604	45.608596	46.603981
90	41.372013	42.900736	45.421791	46.444245
90.5	41.335434	42.801121	45.194193	46.304856
91	41.346794	42.69537	45.017295	46.126752
91.5	41.311805	42.62842	44.820436	45.986651
92	41.297264	42.565098	44.64054	45.840422
92.5	41.27636	42.493374	44.495517	45.71659
93	41.260228	42.422327	44.309909	45.564897
93.5	41.252275	42.370798	44.143087	45.442851
94	41.229099	42.279766	44.017503	45.307884
94.5	41.204558	42.200305	43.857217	45.194193
95	41.205694	42.139458	43.715958	45.091137
95.5	41.197287	42.077472	43.58965	44.984676
96	41.160702	42.006854	43.45267	44.838107
96.5	41.164793	41.954399	43.345161	44.746124
97	41.130707	41.894902	43.233786	44.65912
97.5	41.136161	41.847211	43.105841	44.556474
98	41.112527	41.798837	43.005788	44.454047
98.5	41.085257	41.752732	42.884399	44.355917
99	41.08503	41.705489	42.787506	44.268206
99.5	41.048215	41.658472	42.70581	44.162128
100	41.051851	41.606002	42.603909	44.078257
