!#Experiment  Id= 1.3:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Isorapid227HM
!t	TC_1	TC_2	TC_3	TC_4
67.5	95.081963	114.007907	130.756354	118.996737
68	94.351028	113.400368	129.618053	118.139733
68.5	93.584593	112.725926	128.505193	117.312484
69	92.849368	111.905787	127.417733	116.432008
69.5	92.17832	110.907762	126.366144	115.652137
70	91.569826	109.954667	125.327296	114.948217
70.5	90.932291	109.172008	124.313723	114.219392
71	90.307008	108.519296	123.32356	113.482707
71.5	89.710787	107.867948	122.341263	112.570166
72	89.142486	107.101101	121.372744	111.728571
72.5	88.574957	106.392411	120.429142	111.054089
73	88.038908	105.745648	119.519977	110.487876
73.5	87.481424	105.24339	118.616527	109.981154
74	86.943971	104.684151	117.721056	109.331998
74.5	86.346767	103.986065	116.850144	108.659095
75	85.75503	103.39335	116.006931	107.910912
75.5	85.190259	102.693692	115.155276	107.196036
76	84.702388	101.967003	114.333769	106.593962
76.5	84.205163	101.353927	113.527394	105.947582
77	83.673503	100.74171	112.74724	105.208391
77.5	83.18198	100.084628	111.983977	104.549164
78	82.654679	99.525468	111.250041	103.879782
78.5	82.191007	99.00765	110.503048	103.288904
79	81.76319	98.547795	109.763158	102.799685
79.5	81.316374	97.986781	109.01882	102.209128
80	80.830863	97.232681	108.27818	101.660442
80.5	80.376943	96.621396	107.558187	100.974228
81	79.944981	96.11571	106.865594	100.346355
81.5	79.559143	95.613729	106.177326	99.805593
82	79.140424	95.234558	105.527023	99.350972
82.5	78.688602	94.842414	104.880104	98.885868
83	78.250894	94.433031	104.241752	98.436841
83.5	77.847884	94.010012	103.634295	97.965855
84	77.458534	93.489141	103.020484	97.575279
84.5	77.081276	92.90685	102.39604	97.14181
85	76.704918	92.441871	101.763225	96.60543
85.5	76.356311	92.039372	101.148633	96.164722
86	76.036794	91.625036	100.563509	95.711959
86.5	75.703407	91.230508	99.978324	95.241301
87	75.387474	90.927355	99.412438	94.782418
87.5	75.088993	90.559618	98.875063	94.305422
88	74.765899	90.229165	98.327918	93.910502
88.5	74.435867	89.928356	97.792383	93.501269
89	74.093526	89.490317	97.269571	93.045618
89.5	73.748497	89.041127	96.752725	92.614965
90	73.412637	88.687738	96.225652	92.198748
90.5	73.06357	88.177004	95.739158	91.787082
91	72.709572	87.398268	95.250515	91.353708
91.5	72.289105	86.913044	94.750285	90.880011
92	71.855869	86.526703	94.285202	90.504204
92.5	71.440295	86.120906	93.804931	90.138314
93	71.088487	85.683561	93.330138	89.78929
93.5	70.786351	85.225429	92.861044	89.403524
94	70.468537	84.810575	92.392706	88.996278
94.5	70.187865	84.489829	91.929834	88.584598
95	69.929343	84.109755	91.481177	88.118044
95.5	69.666333	83.844595	91.01823	87.687192
96	69.371303	83.556608	90.571733	87.32027
96.5	69.060365	83.173919	90.136071	86.998878
97	68.746277	82.783645	89.695087	86.664069
97.5	68.472471	82.285709	89.294083	86.276184
98	68.176261	81.854751	88.874294	85.908725
98.5	67.877572	81.389796	88.467561	85.489549
99	67.559608	81.038583	88.052583	85.030541
99.5	67.296264	80.739316	87.64281	84.586588
100	67.02865	80.541452	87.254375	84.222856
100.5	66.755197	80.395744	86.838417	83.861615
101	66.49427	80.022419	86.446705	83.625356
101.5	66.214511	79.549296	86.05929	83.40747
102	65.963183	79.179811	85.66407	83.15914
102.5	65.728192	78.843683	85.285465	82.815663
103	65.524551	78.685245	84.895469	82.507804
103.5	65.283484	78.457215	84.527457	82.25056
104	65.058982	78.207706	84.158803	81.929299
104.5	64.849927	77.915462	83.796895	81.616113
105	64.649599	77.58138	83.429863	81.372784
105.5	64.432453	77.250885	83.069798	81.109765
106	64.236583	76.892872	82.708638	80.734839
106.5	63.994307	76.634436	82.356456	80.470724
107	63.766806	76.365037	82.002728	80.235714
107.5	63.58726	76.094522	81.675436	79.951472
108	63.346056	75.723545	81.338311	79.622926
108.5	63.110214	75.32639	81.018214	79.284098
109	62.830183	75.082728	80.680001	78.97773
109.5	62.554611	74.894331	80.357023	78.678308
110	62.291347	74.528052	80.022196	78.422753
110.5	62.063718	74.257313	79.721623	78.168322
111	61.834948	74.112098	79.389505	77.910315
111.5	61.602795	73.753196	79.075301	77.677599
112	61.397093	73.315973	78.760883	77.39879
112.5	61.213585	73.037166	78.441998	77.027126
113	61.002917	72.783639	78.141917	76.701114
113.5	60.824542	72.541745	77.820585	76.433729
114	60.652213	72.310364	77.531928	76.159857
114.5	60.505006	72.161105	77.217321	75.878603
115	60.311784	71.895926	76.932477	75.635164
115.5	60.160965	71.689149	76.649203	75.362861
116	59.968389	71.603438	76.342214	75.111367
116.5	59.774226	71.415007	76.050891	74.84533
117	59.58319	71.2259	75.772769	74.626726
117.5	59.410772	70.998966	75.488161	74.417967
118	59.246874	70.781204	75.207132	74.216814
118.5	59.047711	70.446379	74.954519	73.982992
119	58.885134	70.126761	74.668344	73.746707
119.5	58.710418	69.858387	74.413716	73.520713
120	58.566233	69.666333	74.158415	73.238552
120.5	58.445622	69.538295	73.898637	72.9857
121	58.309956	69.357424	73.652058	72.783416
121.5	58.164621	69.156849	73.379745	72.587394
122	58.02332	68.945522	73.130922	72.438586
122.5	57.884257	68.750978	72.872922	72.216378
123	57.763159	68.536278	72.63998	71.993719
123.5	57.605204	68.260894	72.383986	71.804846
124	57.493302	67.995796	72.168042	71.585535
124.5	57.364091	67.80995	71.901744	71.295724
125	57.209477	67.643131	71.684226	71.031194
125.5	57.094856	67.452794	71.452604	70.808061
126	56.942244	67.22841	71.222767	70.628565
126.5	56.806479	66.992594	70.966291	70.468985
127	56.652946	66.793943	70.758375	70.289034
127.5	56.532224	66.582965	70.529639	70.116912
128	56.384964	66.423044	70.298882	69.90293
128.5	56.246687	66.194352	70.081771	69.65917
129	56.102554	66.01	69.85503	69.483676
129.5	55.974376	65.816903	69.640815	69.288925
130	55.834496	65.692348	69.432191	69.053649
130.5	55.665815	65.477056	69.217739	68.842766
131	55.502068	65.273626	68.997459	68.676651
131.5	55.384423	65.093263	68.778514	68.454112
132	55.214127	64.927008	68.573442	68.209398
132.5	55.080489	64.746404	68.380677	67.998035
133	54.951116	64.60635	68.170216	67.8151
133.5	54.820608	64.440744	67.953701	67.58312
134	54.704269	64.219102	67.752404	67.38024
134.5	54.573968	64.053477	67.554458	67.180262
135	54.428129	63.856015	67.34441	66.974901
135.5	54.28903	63.716149	67.138609	66.788792
136	54.165677	63.603176	66.952954	66.62104
136.5	54.026782	63.476972	66.75027	66.440739
137	53.892154	63.253246	66.555416	66.274765
137.5	53.771475	63.078603	66.376008	66.119313
138	53.658218	62.905743	66.166129	65.957583
138.5	53.545854	62.725474	65.978639	65.788229
139	53.451049	62.486891	65.794277	65.600946
139.5	53.356238	62.277443	65.599154	65.374222
140	53.24498	62.073361	65.443899	65.190728
140.5	53.162771	61.916141	65.253238	65.06548
141	53.077179	61.78179	65.075787	64.936419
141.5	52.977166	61.583953	64.884883	64.793908
142	52.876245	61.384755	64.708758	64.59156
142.5	52.766307	61.23086	64.537106	64.422368
143	52.647124	61.123846	64.350431	64.274906
143.5	52.566237	61.030738	64.163745	64.124076
144	52.462362	60.938973	63.987583	63.941636
144.5	52.374029	60.825888	63.814997	63.79998
145	52.264508	60.674428	63.63792	63.671319
145.5	52.162417	60.47875	63.47092	63.559689
146	52.035301	60.28575	63.313999	63.424517
146.5	51.96137	60.13897	63.145636	63.2658
147	51.857456	59.979836	62.99251	63.113577
147.5	51.772922	59.850097	62.825251	62.975471
148	51.686806	59.678373	62.660897	62.851708
148.5	51.568895	59.533576	62.511558	62.701482
149	51.456387	59.390791	62.349204	62.581519
149.5	51.303508	59.245527	62.202316	62.453255
150	51.176322	59.121361	62.041514	62.284395
150.5	51.065139	59.022786	61.888778	62.126289
151	50.93252	58.925555	61.741641	61.959877
151.5	50.833725	58.806311	61.581037	61.740071
152	50.726577	58.694248	61.435678	61.54896
152.5	50.607691	58.564885	61.280664	61.412572
153	50.509552	58.394861	61.138877	61.29031
153.5	50.403735	58.260089	60.982051	61.178587
154	50.327018	58.088917	60.826112	61.09109
154.5	50.213516	57.961765	60.692828	60.984295
155	50.113546	57.890323	60.541135	60.79268
155.5	50.021467	57.79686	60.397064	60.632915
156	49.948794	57.653513	60.243782	60.520266
156.5	49.839551	57.524087	60.110466	60.409407
157	49.773641	57.36072	59.952452	60.31313
157.5	49.663708	57.24094	59.822039	60.203608
158	49.602078	57.168349	59.681516	60.067821
158.5	49.527127	57.081596	59.541209	59.896786
159	49.442914	56.997312	59.388321	59.750431
159.5	49.386017	56.90718	59.256978	59.636619
160	49.297054	56.772087	59.129893	59.507759
160.5	49.250538	56.615628	59.000107	59.341622
161	49.175568	56.465677	58.847632	59.220829
161.5	49.133565	56.332577	58.723443	59.056468
162	49.063106	56.217906	58.599473	58.923758
162.5	48.986093	56.12594	58.476169	58.783629
163	48.926242	55.980448	58.340055	58.666624
163.5	48.85645	55.809982	58.199664	58.500201
164	48.776489	55.705625	58.072743	58.368805
164.5	48.717081	55.574497	57.949858	58.233808
165	48.647504	55.45888	57.824495	58.108237
165.5	48.617685	55.361028	57.682947	57.99434
166	48.567758	55.26677	57.553074	57.887402
166.5	48.516249	55.146634	57.434428	57.753497
167	48.44621	55.022441	57.306561	57.602507
167.5	48.375491	54.93199	57.181159	57.46791
168	48.294599	54.848511	57.06856	57.368136
168.5	48.233363	54.761877	56.937974	57.268357
169	48.157435	54.596698	56.81637	57.162955
169.5	48.09348	54.43263	56.698355	57.059795
170	48.01325	54.318516	56.588202	56.973037
170.5	47.941605	54.187062	56.466576	56.888973
171	47.857524	54.079685	56.353038	56.790295
171.5	47.788582	54.010573	56.222628	56.673403
172	47.716473	53.927951	56.119644	56.575388
172.5	47.659506	53.827988	56.006309	56.470848
173	47.582642	53.661821	55.885771	56.348316
173.5	47.534713	53.579407	55.77917	56.224202
174	47.449476	53.474244	55.67931	56.107726
174.5	47.375992	53.3693	55.575172	55.99619
175	47.321498	53.293853	55.445833	55.89814
175.5	47.242806	53.226962	55.338757	55.788841
176	47.167502	53.189574	55.244723	55.714172
176.5	47.090384	53.120876	55.13201	55.623755
177	47.027058	53.025596	55.025816	55.532435
177.5	46.963955	52.952387	54.919615	55.442009
178	46.911254	52.884355	54.805982	55.330434
178.5	46.852444	52.766758	54.722946	55.215927
179	46.805393	52.664473	54.6021	55.140784
179.5	46.747936	52.569166	54.504876	55.053715
180	46.684141	52.49526	54.401345	54.971141
180.5	46.643872	52.431041	54.307262	54.908364
181	46.594326	52.340453	54.206195	54.828709
181.5	46.540252	52.270368	54.111876	54.753551
182	46.492512	52.172108	54.015751	54.659261
182.5	46.43572	52.09886	53.913992	54.614477
183	46.375757	52.018847	53.826862	54.572843
183.5	46.320091	51.915162	53.7359	54.51883
184	46.258312	51.853624	53.628946	54.421827
184.5	46.199247	51.770217	53.531893	54.359931
185	46.150589	51.676436	53.454201	54.271923
185.5	46.115283	51.613085	53.349481	54.185036
186	46.061643	51.53688	53.279664	54.097244
186.5	46.009358	51.42234	53.180114	53.994815
187	45.967258	51.271712	53.099478	53.914443
187.5	45.905463	51.167752	52.996538	53.822584
188	45.830535	51.070777	52.917695	53.723516
188.5	45.789787	50.991162	52.810689	53.62872
189	45.730021	50.922596	52.751213	53.55306
189.5	45.69493	50.849966	52.650954	53.422223
190	45.641725	50.808461	52.550915	53.320879
190.5	45.605726	50.718456	52.490528	53.216601
191	45.562933	50.650329	52.400395	53.115696
191.5	45.507458	50.597088	52.317918	53.015234
192	45.468285	50.503686	52.206364	52.945854
192.5	45.434093	50.423816	52.144838	52.875569
193	45.374537	50.325439	52.050176	52.816546
193.5	45.34238	50.258647	51.965202	52.730711
194	45.29369	50.21848	51.868952	52.661319
194.5	45.256775	50.158905	51.808089	52.561956
195	45.221218	50.094363	51.71972	52.499992
195.5	45.162105	50.035009	51.643295	52.398592
196	45.116579	49.967076	51.564612	52.306425
196.5	45.030959	49.864154	51.482317	52.228225
197	44.987014	49.763257	51.395508	52.135822
197.5	44.938311	49.655581	51.330116	52.062798
198	44.884395	49.580858	51.246456	51.988418
198.5	44.839539	49.480618	51.166399	51.910879
199	44.790377	49.415143	51.09536	51.823643
199.5	44.738721	49.351697	51.014619	51.751732
200	44.712439	49.323698	50.941316	51.65344
200.5	44.663272	49.252571	50.8838	51.543418
