!#Experiment  Id= 3.1:
!Initial Temp=850 C
!Cylinder(75,220)
!Quenchant=Aquatensid BW (5%)
!t	TC_1	TC_2	TC_3	TC_4
0	815.363534	841.148399	850.361034	839.611831
0.5	814.120081	840.026023	850.405179	839.330681
1	812.797229	838.902571	850.392303	838.98741
1.5	811.796472	837.852544	850.405868	838.521046
2	810.50554	836.874742	850.499448	838.050837
2.5	809.386	835.929474	850.43162	837.419084
3	807.062449	834.99152	850.420813	836.649463
3.5	801.855802	834.027894	850.423802	835.770919
4	794.908066	833.091279	850.422883	834.721674
4.5	786.603526	832.310543	850.417135	833.636277
5	777.470351	831.510496	850.440357	832.436687
5.5	768.274115	830.679248	850.442886	831.208143
6	758.90092	829.856858	850.474156	829.885001
6.5	747.038321	828.972407	850.424722	828.375175
7	729.619119	825.900683	850.444725	826.845767
7.5	700.66834	820.085521	850.519222	825.365822
8	659.11835	813.903756	850.517842	823.919523
8.5	616.685547	808.07098	850.618782	822.525792
9	571.254909	802.517543	850.622921	821.205584
9.5	526.77037	797.138804	850.612804	819.876883
10	486.297762	792.259997	850.620622	818.556354
10.5	451.311841	786.896641	850.649594	817.295319
11	421.795109	781.93829	850.610735	815.810481
11.5	396.498813	777.391689	850.622461	813.089844
12	374.734438	772.845693	850.570726	807.583186
12.5	355.713511	768.389159	850.579004	800.547623
13	339.001157	763.573807	850.533018	792.367504
13.5	324.219733	758.836766	850.561529	783.594451
14	311.052261	753.883643	850.469098	774.524878
14.5	299.319309	748.455482	850.490941	765.487109
15	288.658546	744.140236	850.375749	757.331314
15.5	279.076712	740.521079	850.308612	750.182222
16	270.124675	736.990317	850.228142	743.756789
16.5	261.612481	733.422146	850.143535	737.480976
17	253.542775	729.920878	850.023984	731.714825
17.5	245.997583	726.923158	849.888804	726.397829
18	239.547017	723.894478	849.745352	720.709633
18.5	233.444625	720.449087	849.57432	715.055776
19	227.714584	717.647595	849.416398	709.866885
19.5	222.124974	715.675109	849.168607	704.981185
20	217.213575	714.047214	848.941287	700.653664
20.5	212.316119	711.588332	848.671461	696.364035
21	207.651159	708.577639	848.4051	691.951211
21.5	203.567254	705.2102	848.100839	687.490646
22	199.501458	702.571705	847.771555	682.984179
22.5	195.326347	699.499719	847.411049	678.308306
23	191.234504	697.51483	847.026222	673.825564
23.5	187.185729	695.091326	846.582164	669.757832
24	183.093622	692.735563	846.142058	665.491723
24.5	178.892571	689.380966	845.679492	660.795821
25	175.17179	686.37332	845.192405	655.377275
25.5	172.032141	684.204316	844.689532	649.534893
26	169.287308	682.105762	844.148151	643.445994
26.5	166.946959	678.817168	843.555649	636.819405
27	164.380298	657.994043	842.936838	629.388324
27.5	161.578652	612.889601	842.279566	620.585451
28	158.789467	569.232819	841.639375	610.266786
28.5	156.112876	532.376404	840.916467	598.785801
29	153.39014	491.330346	840.190014	586.390833
29.5	151.11468	449.262321	839.43181	571.485254
30	149.355272	415.014944	838.656548	554.749596
30.5	147.435422	387.885241	837.818159	538.7024
31	145.740884	366.295723	837.002398	522.784442
31.5	143.996202	348.672018	836.129281	506.85216
32	142.137932	333.66377	835.221293	491.028614
32.5	140.244949	320.875082	834.295864	474.952185
33	138.333281	309.785285	833.311101	459.023664
33.5	137.096503	300.02907	832.326797	441.279129
34	136.085919	291.474988	831.281841	423.312607
34.5	134.676097	283.899333	830.178793	406.318547
35	133.147357	277.076731	829.059105	390.597114
35.5	131.607745	270.731721	827.850751	376.336142
36	130.341084	264.989501	826.63131	362.64054
36.5	128.904578	259.880979	825.308226	348.989193
37	127.210848	255.225323	823.956994	335.512118
37.5	125.719557	250.982436	822.490161	322.677544
38	124.375866	246.920283	820.98753	310.895759
38.5	122.710951	243.115003	819.368114	300.254544
39	120.964037	239.491351	817.673796	290.656701
39.5	119.283312	236.175122	815.913787	281.867121
40	118.024702	233.041302	814.058077	273.55656
40.5	116.96452	230.074761	812.140969	265.62538
41	116.125114	227.257927	810.141362	258.188577
41.5	115.356509	224.547659	808.060281	251.316852
42	114.233969	221.967066	805.87441	245.052031
42.5	113.147759	219.527021	803.585953	239.271666
43	112.146311	217.228416	801.206436	233.891458
43.5	111.206144	215.058642	798.746455	228.898625
44	110.254248	212.940705	796.137361	224.180496
44.5	109.342234	210.965598	793.478562	219.673005
45	108.255389	209.078755	790.711196	215.385795
45.5	107.178683	207.279193	787.883728	211.290555
46	106.01608	205.55265	784.981553	207.340337
46.5	104.971366	203.916003	781.960238	203.63775
47	103.852758	202.315622	778.888764	200.140049
47.5	102.70254	200.750878	775.723846	196.849177
48	101.832028	199.181558	772.500449	193.724301
48.5	101.203669	197.662656	769.191395	190.783379
49	100.485618	196.200759	765.814676	187.930319
49.5	99.909012	194.806646	762.37179	185.141636
50	99.164836	193.405822	758.850947	182.481897
50.5	98.470202	192.050971	755.30158	180.004885
51	97.714815	190.746329	751.712954	177.671334
51.5	97.006463	189.496593	748.068308	175.491326
52	96.62662	188.281752	744.413537	173.338678
52.5	96.104971	187.144246	740.715467	171.226752
53	95.71808	186.000664	736.98494	169.219834
53.5	95.492629	184.903225	733.204332	167.287436
54	95.109657	183.818852	729.425637	165.541377
54.5	94.458696	182.782048	725.577537	163.882962
55	93.869898	181.770218	721.721587	162.284495
55.5	93.523107	180.731874	717.848189	160.746643
56	93.494584	179.722953	713.972299	159.268902
56.5	93.166481	178.746491	710.06538	157.817826
57	92.796431	177.791774	706.119463	156.454158
57.5	92.539358	176.867892	702.20401	155.119172
58	92.296002	176.024924	698.239792	153.762126
58.5	91.928988	175.165502	694.282856	152.497681
59	91.439487	174.33179	690.335812	151.371085
59.5	90.946928	173.492118	686.34937	150.30699
60	90.741402	172.54313	682.384739	149.287059
60.5	90.513679	171.704386	678.422785	148.158936
61	89.806837	170.902998	674.439562	147.050534
61.5	89.086925	170.014459	670.482388	146.020255
62	88.386676	169.160503	666.50078	145.066154
62.5	87.59198	168.30832	662.545307	144.18145
63	86.755552	167.469081	658.565328	143.378518
63.5	86.119838	166.704873	654.614427	142.634677
64	85.563083	165.994042	650.663178	141.877505
64.5	84.921281	165.355861	646.736192	141.097114
65	84.203199	164.794947	642.792861	140.207186
65.5	83.720583	164.149517	638.88705	139.349185
66	83.323774	163.501638	634.998842	138.499149
66.5	82.909307	162.857355	631.104628	137.680758
67	82.629878	162.202964	627.217086	136.982019
67.5	82.242552	161.590729	623.354578	136.305366
68	81.821671	161.077983	619.484297	135.637684
68.5	81.243004	160.549991	615.679654	134.88206
69	80.547772	159.974727	611.841392	134.181832
69.5	79.908105	159.356629	608.070719	133.419917
70	79.387767	158.732153	604.33615	132.660612
70.5	78.91378	158.01083	600.572309	131.916525
71	78.426162	157.331426	596.859482	131.268766
71.5	77.802064	156.772987	593.157709	130.624218
72	77.15651	156.216277	589.480677	130.000742
72.5	76.560425	155.660833	585.809471	129.412053
73	76.033043	155.128674	582.165865	128.736596
73.5	75.728519	154.597544	578.538166	127.770211
74	75.332036	154.02528	574.937639	126.816474
74.5	74.830614	153.455222	571.502082	125.939799
75	74.412873	153.009638	568.016317	125.208128
75.5	74.087537	152.534726	564.503876	124.51238
76	73.840065	152.10342	560.998541	123.885145
76.5	73.540008	151.544197	557.497814	123.296009
77	73.254715	151.017493	554.021918	122.61882
77.5	73.119339	150.395589	550.561361	121.884227
78	73.025806	149.88532	547.134618	121.07385
78.5	72.726855	149.365446	543.726741	120.222183
79	72.404625	148.874353	540.356209	119.474277
79.5	71.980344	148.55025	536.973988	118.999293
80	71.501666	148.18459	533.624124	118.598606
80.5	71.073097	147.823148	530.282926	118.252376
81	70.764694	147.214554	526.98856	117.762949
81.5	70.471947	146.574713	523.668138	117.040437
82	70.190827	145.932284	520.368788	116.442286
82.5	69.819268	145.307583	517.10421	116.124659
83	69.506784	144.793828	513.871488	115.673312
83.5	69.231894	144.407091	510.642312	115.120363
84	69.079446	144.07579	507.426222	114.678812
84.5	68.980497	143.346462	504.243289	114.295014
85	68.820207	142.621075	501.090387	113.856622
85.5	68.607972	142.094602	498.028903	113.282931
86	68.367519	141.678635	494.9614	112.703532
86.5	68.138922	141.131439	491.949682	112.180764
87	67.852994	140.807338	489.013779	111.748113
87.5	67.452398	140.237351	486.051919	111.383761
88	67.059831	139.546444	483.096743	111.049159
88.5	66.741364	139.082675	480.135755	110.695368
89	66.411449	138.833229	477.207793	110.211455
89.5	66.154981	138.815971	474.259678	109.67516
90	65.970403	138.695862	471.366008	109.190163
90.5	65.795002	138.258748	468.488791	108.799862
91	65.626985	137.865199	465.63005	108.527718
91.5	65.396903	137.203868	462.807317	108.262627
92	65.164342	136.704801	460.06854	107.830013
92.5	64.920786	136.175993	457.295865	107.323353
93	64.741974	135.693506	454.559978	106.764628
93.5	64.626795	135.198972	451.813287	106.308414
94	64.540072	134.964957	449.101505	105.910589
94.5	64.372893	134.736483	446.469271	105.480779
95	64.212879	134.452249	443.822526	104.99417
95.5	63.984945	134.170125	441.173242	104.660502
96	63.759238	133.872667	438.530772	104.463443
96.5	63.592468	133.293956	435.931897	104.106848
97	63.390719	132.564059	433.32437	103.621261
97.5	63.137394	132.081826	430.71602	103.09948
98	62.843464	131.568778	428.175071	102.701412
98.5	62.608031	131.029754	425.598316	102.383466
99	62.425277	130.48883	423.089377	101.996361
99.5	62.174559	130.086165	420.585869	101.651028
100	61.927408	130.006925	418.058081	101.435788
100.5	61.698403	129.548503	415.558754	101.160178
101	61.550358	128.999561	413.05599	100.704815
101.5	61.429449	128.486255	410.651702	100.030627
102	61.26232	128.074208	408.223542	99.293163
102.5	61.05547	127.804062	405.858507	98.692794
103	60.803951	127.714632	403.488338	98.219053
103.5	60.512688	127.270297	401.145444	97.886482
104	60.263135	126.686636	398.826993	97.58928
104.5	60.028595	125.929289	396.519998	97.206867
105	59.775849	125.444751	394.231764	96.826541
105.5	59.499504	124.946191	391.942886	96.512837
106	59.312487	124.105838	389.694024	96.17062
106.5	59.157339	123.433578	387.420476	95.717181
107	58.973213	123.147274	385.237855	95.220227
107.5	58.756733	122.674463	383.065542	94.762247
108	58.534168	122.271092	380.882541	94.460943
108.5	58.327528	122.267672	378.700579	94.267058
109	58.134123	122.154134	376.534059	94.014782
109.5	58.002031	121.803537	374.390755	93.611597
110	57.870605	121.385103	372.25364	93.195449
110.5	57.725015	120.995477	370.138018	92.876814
111	57.534476	120.726208	368.050564	92.60918
111.5	57.384368	120.516426	365.955611	92.289941
112	57.296052	120.432156	363.895075	91.93258
112.5	57.188403	119.843067	361.832382	91.54923
113	57.014896	119.001341	359.830113	91.101307
113.5	56.788324	118.373389	357.803079	90.711112
114	56.631867	118.037666	355.822312	90.480251
114.5	56.446395	117.484867	353.837208	90.301676
115	56.293058	116.824515	351.885749	90.173361
