t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,837.246283,849.9999999999999,851.165624,849.9999999999211,850.78344,850.0000000000013,841.52766,849.999999998872,12.753716999999938,1.1656240000788785,0.7834399999987909,8.47233999887203,0.015232933557257654,0.001369444403312602,0.0009208453798757423,0.010067809296811505
5,831.265154,832.8321761666159,850.28932,849.6655913394093,850.797007,849.9970825669309,842.201566,843.321549046446,1.5670221666158568,0.6237286605907002,0.7999244330691226,1.1199830464460092,0.0018851050823860912,0.0007335487414927194,0.0009402059792026545,0.0013298277890473659
10,818.267721,818.8002624287764,844.452604,844.4645322388484,850.847135,849.9671653036781,841.961315,840.8165294646784,0.5325414287763124,0.011928238848440742,0.8799696963218366,1.1447855353216028,0.0006508156378519939,1.4125409516104403E-05,0.0010342277244922927,0.001359665242246436
12,813.413497,813.5984281744725,839.809999,839.8174054135411,850.970158,849.9485881749517,841.115614,839.8954759418052,0.18493117447246732,0.007406413541161783,1.021569825048232,1.2201380581948342,0.00022735198660278356,8.81915379666941E-06,0.0012004766741164994,0.0014506187233790124
14,790.742278,790.7311270331984,835.531515,837.6609259501757,850.925317,849.9196945034821,838.593059,838.9997745774027,0.011150966801665163,2.129410950175725,1.0056224965178444,0.4067155774026787,1.4101897814125936E-05,0.002548570475137284,0.001181798774143001,0.00048499754802129683
15,719.52782,720.1636049521155,833.251128,833.2728627332333,850.858172,849.9020899067452,836.392364,837.3977945915547,0.6357849521155003,0.021734733233301995,0.9560820932547358,1.0054305915546138,0.0008836141347745252,2.6084252997617298E-05,0.0011236679915847783,0.0012021039823297739
16,648.811108,649.0249112904545,831.811976,831.3518613561954,850.937965,849.8806163324679,833.724924,835.0475098215038,0.21380329045450708,0.4601146438045589,1.0573486675320964,1.3225858215038215,0.0003295308724191989,0.0005531474144158738,0.0012425684491960546,0.001586357542435449
17,595.259847,595.6374640373695,830.861663,829.514322806588,850.903472,849.8544583153597,830.704442,832.221963879155,0.37761703736941854,1.3473401934120375,1.049013684640272,1.5175218791550833,0.0006343734408973473,0.0016216179580932687,0.0012328233685245465,0.0018267891712502524
18,554.96436,554.9970785398448,808.677463,808.8919881029635,851.019139,849.822726576286,827.550967,829.1524530328466,0.03271853984472273,0.21452510296353466,1.1964124237140368,1.6014860328465375,5.8956109982851374E-05,0.0002652789434340087,0.0014058584218445372,0.0019352113606394196
19,524.587877,524.7390845489574,751.085744,752.5819351746383,851.287047,849.7844937369216,824.11787,824.120007673481,0.151207548957359,1.4961911746382839,1.5025532630784255,0.0021376734810019116,0.00028824064677605767,0.0019920377754344435,0.0017650371497763733,2.593892886950639E-06
20,501.003605,501.1585808039513,671.632556,671.6780521344679,851.477697,849.7391811318862,821.431891,821.7241281880125,0.15497580395128807,0.04549613446783951,1.7385158681138364,0.2922371880125638,0.0003093307161957209,6.773962051333246E-05,0.002041763247867943,0.00035576557376753204
21,481.894961,482.08061191063683,613.349635,613.392509547516,851.608099,849.6875235316296,818.536979,819.8669758211788,0.18565091063680939,0.042874547516021266,1.92057546837043,1.3299968211788382,0.00038525181971514616,6.990229563929107E-05,0.002255233916429005,0.0016248463481804874
22,465.473279,465.64716215937796,574.545097,576.5232899980551,851.738275,849.6321458966161,814.417367,814.424983405608,0.17388315937796506,1.9781929980550785,2.106129103383978,0.007616405608018795,0.00037356206515554906,0.003443059575974553,0.0024727421148051354,9.351968556459816E-06
23,451.591612,451.78083720238976,547.755724,549.6997476761288,851.778985,849.5756738536995,765.42243,765.7640001818746,0.18922520238976404,1.944023676128836,2.203311146300507,0.3415701818746584,0.0004190184169978871,0.003549070490642351,0.0025867169595649355,0.0004462505519660018
24,438.513468,438.6883848196879,526.87883,528.5495027580062,851.760585,849.5157732026938,670.362564,671.1836799084103,0.17491681968789408,1.6706727580061624,2.24481179730617,0.8211159084103201,0.00039888585517262626,0.0031708860991931723,0.002635496214357195,0.001224883298242054
25,426.329032,426.50099185701595,510.458206,511.95257335582585,851.682846,849.4394561572398,597.079943,597.1470592651134,0.17195985701596328,1.4943673558258297,2.24338984276028,0.06711626511344093,0.00040335009841873325,0.002927501876276683,0.002634067192143823,0.0001124075023793605
26,415.76731,415.9527228048812,496.977598,498.388659930526,851.471488,849.3199382350991,546.849108,546.9248795884328,0.18541280488119583,1.4110619305259888,2.151549764900892,0.07577158843275811,0.00044595330229593044,0.0028392867932167617,0.0025268606115685837,0.00013856032189552022
27,405.831206,406.005820948673,486.770848,488.0318433300432,851.144927,849.1175477369258,510.817479,511.02917508686204,0.17461494867296778,1.2609953300432153,2.0273792630742946,0.2116960868620481,0.0004302649626036096,0.0025905317362867534,0.002381943660546889,0.00041442608282800776
28,397.559777,397.74869164843983,477.754219,478.95663068970333,850.603168,848.7838942353839,484.066708,484.3736428650965,0.18891464843983385,1.2024116897033537,1.8192737646161277,0.3069348650964798,0.000475185517673318,0.002516799730665181,0.002138804360314971,0.0006340755520342039
29,389.396005,389.5582799536437,470.0713,471.1952812140148,849.83595,848.267436339981,463.120275,463.47236396533634,0.1622749536437027,1.1239812140148047,1.5685136600189935,0.3520889653363497,0.0004167350243968289,0.002391086658587335,0.0018456664018732009,0.0007602538354347576
30,382.538294,382.7092716568264,462.977055,464.0592218698541,848.754911,847.5188005571655,446.362134,446.73804348732887,0.17097765682638055,1.0821668698541203,1.2361104428345016,0.37590948732884044,0.00044695566302279933,0.002337409290950974,0.0014563809019710067,0.0008421625821173272
31,375.948503,376.0984856652162,456.701244,457.7279540266492,847.30768,846.4949047688627,432.209263,432.5737340982868,0.14998266521615733,1.026710026649198,0.812775231137266,0.36447109828679913,0.00039894470657370144,0.0022480999124434137,0.0009592444991614687,0.0008432746113699075
32,369.701939,369.84075742956827,451.054451,452.03594807482216,845.477644,845.1615698914273,420.211994,420.57142573647826,0.13881842956828905,0.9814970748221867,0.3160741085727068,0.3594317364782569,0.00037548742628663645,0.0021760057408727065,0.0003738408825067724,0.0008553581087889102
33,363.618966,363.74487820115826,446.109468,447.0392313507117,843.215267,843.4946982131224,410.070701,410.4193754376051,0.12591220115825763,0.9297633507117098,0.2794312131223933,0.34867443760509786,0.0003462751201989217,0.0020841596455686744,0.00033138775358818696,0.0008502788342469214
