t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,848.017526,850.0000000000003,850.316531,849.9999999998846,850.388496,849.9999999999989,848.45737,849.9999999999071,1.9824740000003658,0.31653100011544666,0.3884960000011688,1.5426299999071489,0.0023377747973576265,0.0003722507896479395,0.0004568453146162607,0.0018181585244608682
5,845.20973,846.8697895885949,849.185488,849.8471029594344,850.144096,849.9119251968898,848.160229,849.272629922417,1.6600595885948906,0.6616149594344733,0.23217080311019345,1.1124009224170095,0.001964080073468736,0.0007791171290417452,0.00027309582481673016,0.0013115457249493474
10,832.500435,832.4357177758217,842.548393,842.5422374001726,848.492991,847.0046060760294,845.062305,846.7092448372739,0.06471722417836645,0.0061555998274798185,1.4883849239705569,1.6469398372738624,7.773836680141369E-05,7.305930292694557E-06,0.0017541511123343586,0.0019488975280631672
12,825.514032,827.4865215818621,836.77263,836.8083744527705,846.556309,844.9804557523238,841.108583,841.122260260391,1.972489581862078,0.03574445277047289,1.575853247676264,0.013677260391091295,0.0023894076967816797,4.271704342250402E-05,0.0018614866263742696,1.6260992537144633E-05
14,818.214636,818.2436242936698,830.880509,830.9097307897975,843.20433,841.9562213802631,835.205358,836.6382818677284,0.028988293669726772,0.029221789797588826,1.2481086197369677,1.432923867728391,3.5428715638040445E-05,3.5169665771506056E-05,0.0014801971186947861,0.0017156545441227773
15,814.632658,815.7328343723542,828.198708,829.9254379884202,841.226961,840.2700568996597,831.563929,831.5508422966012,1.1001763723542126,1.7267299884201748,0.956904100340239,0.01308670339881246,0.0013505183735884705,0.0020849223401833354,0.0011375100236953046,1.5737459192764554E-05
16,811.06871,811.0822114402131,825.475862,825.5163257565895,838.994849,838.4125887051989,828.077035,828.7539287644694,0.013501440213076421,0.04046375658947454,0.5822602948011308,0.6768937644693551,1.6646481422118258E-05,4.9018703577155044E-05,0.0006939974607652577,0.0008174284950063313
17,800.28618,800.3179433283383,822.827171,822.8435791021201,836.561335,836.3614107921771,824.667964,826.2156793716397,0.031763328338342944,0.01640810212006727,0.19992420782284626,1.547715371639697,3.968996233115377E-05,1.9941128220311614E-05,0.00023898332310905363,0.001876773973530633
18,776.102658,776.175582085076,820.108678,821.5328082963855,834.098766,834.1702224209292,821.214818,821.2062580108732,0.07292408507601067,1.4241302963854423,0.07145642092928028,0.00855998912686573,9.396190610135839E-05,0.0017365141164686496,8.566901647865558E-05,1.0423568765737651E-05
19,746.275566,746.3995433542043,807.833664,807.9302642941592,831.831742,831.4986235570346,817.711313,818.5734454726312,0.12397735420427125,0.09660029415920235,0.3331184429653149,0.8621324726311741,0.00016612811654652412,0.00011957943629247215,0.0004004637309997181,0.0010543237679667202
20,717.149254,717.2549245714034,792.021959,792.1056934910064,828.824737,827.7211607111792,813.100428,813.1132002009632,0.10567057140337965,0.08373449100633934,1.1035762888208183,0.01277220096324072,0.000147348088022106,0.00010572243617091346,0.0013314953566845801,1.5708023908752293E-05
21,670.667343,670.9673863749648,776.88798,776.9647702159965,823.756035,822.3872253762905,796.068225,796.1323874449888,0.3000433749648437,0.07679021599653879,1.368809623709467,0.06416244498882406,0.000447380326620203,9.884335705198939E-05,0.0016616687047512398,8.0599178529986E-05
22,544.316059,544.3725768135569,760.482206,760.3537507928032,816.566622,815.2256039356266,774.969329,774.9852082758988,0.056517813556865804,0.1284552071967937,1.3410180643734293,0.015879275898782907,0.00010383271377423352,0.00016891283738569644,0.0016422641193548923,2.0490199166040683E-05
23,433.244601,433.3764974706506,748.294555,747.2163250956303,807.594668,806.2272665882334,752.235849,752.3115031584048,0.13189647065058807,1.078229904369664,1.3674014117665365,0.07565415840474543,0.00030443880973046,0.0014409164107437131,0.0016931778600679625,0.00010057239163131859
24,356.232064,357.38011842733135,730.776698,730.7904626384028,797.152755,795.5273073061722,729.318821,729.3549371229742,1.148054427331374,0.013764638402790297,1.6254476938277094,0.036116122974249265,0.0032227711746109808,1.883562850383921E-05,0.002039066770618775,4.9520349584189965E-05
25,301.660815,302.2909244050241,710.31812,710.3486725404377,785.882927,783.196722604181,705.152431,705.1891690004419,0.6301094050240863,0.03055254043772493,2.6862043958190043,0.036738000441914664,0.0020888009767661944,4.3012475083311864E-05,0.003418071958978954,5.2099374300979565E-05
26,265.587265,266.1440997312488,694.495499,695.3839183582915,773.849163,769.5033709160673,675.867935,676.0064669514503,0.5568347312487845,0.8884193582914577,4.345792083932679,0.13853195145031805,0.00209661683608506,0.0012792298288047763,0.005615812863433541,0.0002049689654981458
