!#Experiment  Id= 1.2:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=H2O
!t	t1	t2	t3	t4
0	850.353387	849.602375	849.760535	848.424644
0.5	846.255536	849.511344	849.785133	848.407638
1	846.130354	849.46445	849.744213	848.423265
1.5	845.98106	849.392271	849.726971	848.387874
2	845.802143	849.330897	849.716626	848.352023
2.5	845.595905	849.269984	849.716167	848.336166
3	845.299197	849.140115	849.681224	848.268373
3.5	845.004807	848.95118	849.634099	848.237809
4	844.656708	848.829135	849.566055	848.170937
4.5	844.167674	848.577473	849.572031	848.100389
5	843.632558	848.347887	849.468818	847.975152
5.5	843.01121	848.085682	849.420775	847.805112
6	842.359434	847.737327	849.37733	847.675978
6.5	841.539349	847.314102	849.289522	847.53444
7	840.570553	846.818555	849.202406	847.265394
7.5	839.407512	846.223838	849.049784	846.977068
8	838.063914	845.560079	848.902913	846.677965
8.5	836.458121	844.725591	848.677676	846.296651
9	834.82568	843.722313	848.4166	845.817991
9.5	833.121055	842.55771	848.263547	845.309301
10	831.458319	841.198651	847.995144	844.568999
10.5	829.906976	839.790493	847.611642	843.7393
11	827.922113	838.346813	847.16017	842.820486
11.5	826.151689	836.928152	846.570918	841.614835
12	824.295171	835.472623	845.977155	840.363196
12.5	822.587015	833.987137	845.287485	839.051623
13	820.812876	832.573606	844.565785	837.628598
13.5	819.117299	831.175195	843.748942	836.116229
14	817.294416	829.799668	842.816355	834.623645
14.5	815.424882	828.452951	841.878928	833.028092
15	813.562547	826.988678	840.819211	831.471365
15.5	811.784634	825.499312	839.708161	829.871054
16	810.017024	824.17224	838.641425	828.230636
16.5	807.891162	822.827079	837.467457	826.687105
17	795.165663	821.582134	836.328648	825.139565
17.5	768.706797	820.209257	835.15395	823.52268
18	716.407178	818.886116	833.927821	821.968757
18.5	629.54784	816.045612	832.841483	820.333672
19	542.493666	808.250597	831.835084	818.657455
19.5	472.972277	797.09431	830.666214	817.027062
20	419.8218	779.073513	828.819155	814.620939
20.5	378.674032	767.873748	825.772228	796.604576
21	345.736285	758.365663	821.525502	754.406023
21.5	318.953934	743.363736	816.2048	700.403296
22	296.239475	726.503793	809.766748	647.886465
22.5	277.082627	712.24691	801.703519	591.348718
23	259.050568	703.169249	792.515623	544.190132
23.5	242.094783	686.771397	782.738239	498.03131
24	228.246493	669.252011	771.824951	452.535543
24.5	216.112858	644.632901	760.668121	412.39994
25	204.884434	616.261777	748.202163	379.977415
25.5	194.705788	570.398685	734.794191	354.606987
26	185.091773	457.434951	719.831611	333.585795
26.5	175.933397	370.155976	702.012063	315.482152
27	167.034876	316.352037	681.079728	299.816841
27.5	158.874869	281.090973	657.472242	285.73889
28	151.861301	256.599081	631.726789	273.233915
28.5	145.299976	238.469599	604.671545	262.159074
29	139.326869	224.256858	577.197435	252.203598
29.5	133.756324	212.816735	549.918234	242.999021
30	128.795878	203.405561	523.359156	234.12569
30.5	124.137345	195.2418	497.844539	225.933534
31	119.576265	187.768827	473.427912	217.990556
31.5	115.309741	181.054146	450.260719	210.88872
32	111.390115	175.624325	428.52373	204.120041
32.5	107.360662	170.035413	408.179062	197.678734
33	103.745815	164.662236	389.288617	191.340303
33.5	100.487204	159.380079	371.564687	185.594464
34	97.252987	154.402692	354.861707	179.589222
34.5	93.834193	150.039371	339.160774	174.353922
35	90.581667	146.610753	324.331124	169.649601
35.5	87.540435	142.880914	310.366211	164.647593
36	84.91681	138.438193	297.228209	159.780219
36.5	82.38831	135.080707	284.832252	155.392897
37	79.904757	131.079947	273.1355	151.073732
37.5	77.658416	127.95458	262.102804	147.057474
38	75.63791	125.548465	251.733384	142.884141
38.5	73.739832	121.066569	241.939217	138.189519
39	71.741577	117.160465	232.752559	133.469717
39.5	69.844347	113.88227	224.080321	129.323238
40	68.202295	111.272305	215.731023	125.826714
40.5	66.75817	107.649816	207.898277	122.713469
