!#Experiment  Id= 2.1:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Aquatensid BW (5%)
!t	TC_1	TC_2	TC_3	TC_4
67.5	74.080701	140.938272	395.093004	149.649929
68	73.617528	139.633328	390.122709	148.46084
68.5	73.067302	138.545264	385.296762	147.039261
69	72.572106	137.44217	380.576443	145.468289
69.5	72.04713	136.599406	375.95168	144.030389
70	71.613661	136.062814	371.450903	142.474967
70.5	71.258054	135.02867	367.014349	141.258651
71	70.696532	134.112155	362.638642	140.024642
71.5	70.102963	133.355776	358.322366	138.935442
72	69.51248	132.083533	354.073177	137.507187
72.5	68.893513	130.726726	349.894056	136.27255
73	68.167905	129.231306	345.763948	135.019198
73.5	67.480041	128.065159	341.652598	133.431894
74	66.888382	127.238388	337.662352	131.907401
74.5	66.317027	125.82178	333.724918	130.683827
75	65.824672	124.141317	329.814171	129.528172
75.5	65.286325	122.851312	325.957669	128.163701
76	64.748796	121.485701	322.180367	127.042845
76.5	64.32481	120.293335	318.465281	126.041293
77	63.977873	119.395623	314.796045	125.130067
77.5	63.648383	118.135339	311.184453	124.00432
78	63.17852	116.752572	307.605144	122.566644
78.5	62.751411	115.618224	304.052857	121.083237
79	62.27894	114.729986	300.494698	119.953081
79.5	61.883323	113.989228	297.07185	118.977037
80	61.667773	113.043312	293.725163	117.856912
80.5	61.530942	111.919766	290.560159	116.689338
81	61.35193	111.199902	287.343653	115.523919
81.5	61.013614	110.780853	284.104692	114.654115
82	60.653038	110.155633	280.925587	114.039771
82.5	60.285902	109.255436	277.787427	113.497096
83	60.018595	108.613326	274.709301	112.964113
83.5	59.697606	107.822878	271.675009	112.225463
84	59.37635	106.824164	268.71054	111.339853
84.5	59.006771	105.812207	265.776747	110.332409
85	58.651729	104.884546	262.863679	109.357441
85.5	58.289443	104.086187	259.993498	108.397927
86	57.883286	102.878547	257.170452	107.310061
86.5	57.610299	101.920718	254.385333	106.227577
87	57.371435	100.965593	251.647203	105.11975
87.5	57.10265	100.151223	248.906982	103.947123
88	56.784603	99.609384	246.224323	102.926079
88.5	56.456162	98.835824	243.58866	102.159175
89	56.152401	98.095165	240.987546	101.243375
89.5	55.775949	97.515817	238.437935	100.413128
90	55.407295	97.007238	235.88268	99.425369
90.5	55.077716	96.170271	233.380625	98.454492
91	54.856314	95.372482	230.935219	97.660415
91.5	54.692494	94.363986	228.496558	96.761143
92	54.444937	93.3386	226.058488	95.637428
92.5	54.192842	92.583237	223.672002	94.434027
93	53.994967	92.07297	221.316231	93.585813
93.5	53.736953	91.510056	219.038146	92.972512
94	53.50142	90.844936	216.728994	92.365189
94.5	53.249863	90.172114	214.4807	91.88257
95	53.011333	89.592516	212.266994	91.444469
95.5	52.782906	88.998	210.097317	90.872254
96	52.60199	88.56076	207.971129	90.332903
96.5	52.425785	87.909264	205.842764	89.9861
97	52.198855	87.170032	203.771165	89.644495
97.5	51.920499	86.426466	201.745315	88.923049
98	51.77285	85.787892	199.744154	88.057612
98.5	51.732047	85.17697	197.757074	87.381555
99	51.640743	84.510811	195.800936	86.894764
99.5	51.45902	84.191877	193.871178	86.539124
100	51.264875	83.693138	191.953446	86.110696
100.5	51.031687	83.236768	190.090697	85.623616
101	50.843803	82.731404	188.22243	85.064238
101.5	50.654317	82.138548	186.385536	84.443114
102	50.414267	81.632831	184.523225	83.828344
102.5	50.267375	81.153789	182.678683	83.128784
103	50.143939	80.761851	180.866893	82.588502
103.5	49.970614	80.542947	179.083257	82.059912
104	49.771762	80.127763	177.305699	81.579945
104.5	49.702688	79.523264	175.564795	80.896991
105	49.570626	78.925516	173.804235	80.21119
105.5	49.362462	78.396723	172.057386	79.494115
106	49.150881	77.996618	170.364795	78.875557
106.5	48.957337	77.60458	168.678081	78.332444
107	48.804652	77.148555	166.989156	77.753775
107.5	48.671377	76.509285	165.347595	77.294838
108	48.545094	75.962437	163.716682	76.726047
108.5	48.393719	75.438193	162.107138	76.156373
109	48.221313	74.92178	160.521537	75.584245
109.5	48.046626	74.351888	158.95386	75.053289
110	47.900848	73.977774	157.416417	74.533071
110.5	47.721599	73.562036	155.923113	73.942142
111	47.559057	72.939532	154.406493	73.378499
111.5	47.409836	72.454626	152.941197	72.90099
112	47.281175	72.122096	151.463066	72.53759
112.5	47.157705	71.687734	150.02628	72.234824
113	47.004368	71.152422	148.609761	71.802929
113.5	46.874086	70.60835	147.194327	71.272322
114	46.769806	70.22853	145.829181	70.775481
114.5	46.66054	69.830783	144.449187	70.400593
115	46.557827	69.518972	143.081375	69.919367
115.5	46.481353	69.195953	141.73335	69.524736
116	46.366633	68.811352	140.428352	69.310959
116.5	46.269328	68.354857	139.100728	69.119785
117	46.142595	68.012517	137.810105	68.894129
117.5	46.049121	67.731956	136.535512	68.580031
118	45.940475	67.527962	135.270042	68.320546
118.5	45.891582	67.334261	134.029755	68.144564
119	45.822086	67.084789	132.794201	67.925585
