!#Experiment  Id= 3.3:
!Initial Temp=850 C
!Cylinder(75,220)
!Quenchant=Isorapid227HM
!t	TC_1	TC_2	TC_3	TC_4
0	837.246283	851.165624	850.78344	841.52766
0.5	837.009295	851.129519	850.789418	841.562534
1	836.725111	851.130669	850.769643	841.604521
1.5	836.394655	851.038455	850.771253	841.642379
2	835.997548	850.972228	850.778381	841.714654
2.5	835.537014	850.884156	850.745269	841.85806
3	834.954889	850.789188	850.775622	841.886053
3.5	834.226257	850.730323	850.772403	841.962692
4	833.401803	850.534188	850.78252	841.993669
4.5	832.373292	850.416236	850.66617	842.118497
5	831.265154	850.28932	850.797007	842.201566
5.5	830.074246	849.959633	850.753317	842.019368
6	828.60095	849.849513	850.800226	842.326859
6.5	827.326184	849.59595	850.891745	842.205696
7	825.966309	849.083353	850.820921	842.306436
7.5	824.688908	848.722734	850.793097	842.306206
8	823.390873	847.980908	850.769183	842.223365
8.5	822.136627	847.35478	850.864841	842.255721
9	820.791882	846.434942	850.799306	842.18665
9.5	819.531783	845.52679	850.872889	842.16921
10	818.267721	844.452604	850.847135	841.961315
10.5	816.988294	843.187724	850.812643	841.828001
11	815.699217	842.093027	850.850814	841.621729
11.5	814.575354	840.961222	850.879097	841.416614
12	813.413497	839.809999	850.970158	841.115614
12.5	812.419204	838.7774	850.883696	840.693515
13	811.385731	837.643738	850.952452	840.131777
13.5	807.568868	836.662317	850.91129	839.417384
14	790.742278	835.531515	850.925317	838.593059
14.5	758.847366	834.349023	850.964639	837.514229
15	719.52782	833.251128	850.858172	836.392364
15.5	681.927634	832.456855	851.006491	835.061869
16	648.811108	831.811976	850.937965	833.724924
16.5	619.926692	831.375474	850.990624	832.026467
17	595.259847	830.861663	850.903472	830.704442
17.5	573.586016	825.673037	851.007411	829.414859
18	554.96436	808.677463	851.019139	827.550967
18.5	538.843355	783.865202	851.134579	825.75281
19	524.587877	751.085744	851.287047	824.11787
19.5	512.008825	710.194839	851.34845	822.730698
20	501.003605	671.632556	851.477697	821.431891
20.5	491.11494	639.359856	851.494026	820.042626
21	481.894961	613.349635	851.608099	818.536979
21.5	473.339687	592.104289	851.681926	817.114669
22	465.473279	574.545097	851.738275	814.417367
22.5	458.350884	560.064155	851.755525	799.774876
23	451.591612	547.755724	851.778985	765.42243
23.5	444.990493	536.686876	851.724935	717.406644
24	438.513468	526.87883	851.760585	670.362564
24.5	432.22221	518.181296	851.755755	630.321265
25	426.329032	510.458206	851.682846	597.079943
25.5	420.843932	503.416807	851.574291	569.688468
26	415.76731	496.977598	851.471488	546.849108
26.5	410.735381	491.590566	851.339481	527.432166
27	405.831206	486.770848	851.144927	510.817479
27.5	401.562654	482.121022	850.904162	496.508991
28	397.559777	477.754219	850.603168	484.066708
28.5	393.310905	473.830786	850.260121	472.974478
29	389.396005	470.0713	849.83595	463.120275
29.5	385.820851	466.503362	849.319416	454.294303
30	382.538294	462.977055	848.754911	446.362134
30.5	379.257388	459.695378	848.068459	439.157048
31	375.948503	456.701244	847.30768	432.209263
31.5	372.720166	453.763559	846.431497	425.856844
32	369.701939	451.054451	845.477644	420.211994
32.5	366.777282	448.501187	844.389925	414.926305
33	363.618966	446.109468	843.215267	410.070701
33.5	360.64673	443.870765	841.955349	405.607341
34	358.149377	441.686683	840.575381	401.115475
34.5	355.565427	439.519715	839.132578	396.830067
35	352.474709	437.265658	837.555488	392.856706
35.5	349.437499	435.260038	835.910249	389.140152
36	346.505873	433.237722	834.162127	385.6199
36.5	343.375189	431.37117	832.305985	382.121138
37	340.261224	429.3279	830.388875	378.762123
37.5	337.44941	427.275946	828.389834	375.76186
38	334.806687	425.542328	826.288177	373.075895
38.5	332.063792	423.910874	824.128152	370.598483
39	328.958281	422.486462	821.927661	368.288416
39.5	325.566647	420.946794	819.667819	365.642997
40	322.811309	419.269797	817.30994	362.641891
40.5	320.448894	417.675042	814.882683	359.970826
41	318.558172	416.093518	812.408722	357.691444
41.5	317.055877	414.492008	809.891554	355.812785
42	315.071309	412.873131	807.289374	354.057774
42.5	313.103024	411.151457	804.666249	352.289657
43	310.769722	409.661156	801.972661	350.431979
43.5	308.542554	408.435436	799.290973	348.664704
44	306.569829	406.959214	796.534208	347.044146
44.5	304.880183	405.481744	793.732682	345.414074
45	303.421271	404.066278	790.88081	343.656361
45.5	302.034688	402.875331	788.04009	341.618475
46	300.494843	401.634535	785.188533	339.856595
46.5	298.816788	400.310335	782.279314	338.152765
47	297.277447	398.925619	779.386264	336.619484
47.5	295.875657	397.734964	776.428442	335.341742
48	294.410462	396.440132	773.476209	334.103376
48.5	292.731163	394.868216	770.509913	332.553199
49	290.739169	393.43433	767.536568	330.903168
49.5	288.887816	392.202397	764.528686	329.407164
50	287.199455	391.050396	761.527549	328.154521
50.5	285.593345	389.852227	758.513778	327.043458
51	284.171448	388.685645	755.510786	325.767031
51.5	282.422111	387.624927	752.477858	324.297207
52	280.520359	386.418804	749.466714	322.981443
52.5	279.071756	385.180835	746.437791	321.685638
53	277.895085	383.819233	743.422749	320.271966
53.5	276.631368	382.655075	740.403618	318.828133
54	275.280243	381.642459	737.389358	317.415125
54.5	273.889847	380.569063	734.362487	315.924955
55	272.609811	379.336167	731.332641	314.55416
55.5	271.274187	378.292937	728.324414	313.382507
56	269.65648	377.426183	725.312278	312.330483
56.5	267.68043	376.583226	722.31566	311.148329
57	265.712522	375.758539	719.318674	309.810166
57.5	264.034813	374.682863	716.333354	308.407457
58	262.504421	373.683646	713.362565	306.859653
58.5	261.054851	372.57375	710.392901	305.587663
59	259.961494	371.357996	707.418559	304.755266
59.5	258.971878	370.13405	704.490494	304.131288
60	257.95468	369.176722	701.550341	303.42486
60.5	256.871735	368.334075	698.630783	302.722776
61	255.729801	367.39246	695.700893	302.110326
61.5	254.250845	366.232112	692.812848	301.285171
62	252.795189	364.901933	689.912643	300.24648
62.5	251.563821	363.57128	687.040647	299.311692
63	250.151816	362.446682	684.16621	298.469883
63.5	248.883531	361.331445	681.32521	297.682242
64	247.764018	360.329644	678.463549	296.347637
64.5	246.585716	359.232715	675.648746	294.934855
65	245.605525	358.238829	672.835365	293.880128
65.5	244.943958	357.175318	670.039085	292.696271
66	244.542751	356.106317	667.23467	291.43785
66.5	243.898337	354.994072	664.483302	290.507364
67	242.889467	353.982705	661.711365	289.82626
67.5	241.814907	353.050491	658.968303	289.172041
68	240.857116	352.030843	656.236413	288.58936
68.5	239.623174	350.977714	653.533519	288.036547
69	237.915643	350.051316	650.814606	287.284935
69.5	236.279252	349.203692	648.128581	286.353087
70	235.021356	348.301724	645.452703	285.374883
70.5	234.150829	347.500342	642.79046	284.159707
71	233.367169	346.835823	640.134336	282.763937
71.5	232.526989	345.887283	637.517957	281.472311
72	231.885196	344.816732	634.908715	280.533247
72.5	231.041537	343.901264	632.307244	279.903247
73	229.952874	343.015476	629.709119	279.40158
73.5	228.897953	342.053694	627.127274	278.735781
74	228.007833	340.79824	624.580117	278.165315
74.5	227.242232	339.689439	622.037958	277.687527
75	226.482894	338.527452	619.493972	277.085356
75.5	225.632006	337.406213	616.982138	276.307074
76	224.68093	336.4558	614.487274	275.509748
76.5	223.73926	335.574728	612.004961	274.721685
77	222.879462	334.731837	609.530343	273.949695
77.5	221.811949	333.972818	607.110504	273.415325
78	220.501993	332.99198	604.676156	272.731608
78.5	219.292296	331.91491	602.228601	271.96353
79	218.129898	330.822694	599.801767	271.184545
79.5	216.887544	330.015649	597.424951	270.194171
80	215.612022	329.134895	595.046883	269.31809
80.5	214.55256	328.305737	592.659445	268.508034
81	213.610707	327.427149	590.345761	267.353809
81.5	212.62775	326.452919	587.993329	266.215625
82	211.484051	325.19732	585.676511	265.167449
82.5	210.380212	323.880684	583.367495	263.965386
83	209.571655	323.023194	581.050512	262.765667
83.5	208.778746	322.363619	578.798125	261.653061
84	208.134923	321.370062	576.508422	260.870913
84.5	207.701394	320.053477	574.258548	260.443264
85	207.273403	319.005788	572.052622	260.162149
85.5	206.808867	318.179797	569.812811	259.915204
86	206.479619	317.411548	567.591546	259.625587
86.5	206.055003	316.439698	565.406061	259.358515
87	205.448478	315.490438	563.217656	258.842756
87.5	204.598334	314.910266	561.042256	258.223284
88	203.627767	314.259768	558.890543	257.496819
88.5	202.428508	313.549651	556.766426	256.848673
89	201.3228	312.617629	554.618761	256.40224
89.5	200.473659	311.697702	552.486631	255.773662
90	199.727077	310.72718	550.412612	255.19107
90.5	199.212313	309.74768	548.306899	254.868639
91	198.850722	308.948039	546.239157	254.376566
91.5	198.490044	308.240764	544.164145	253.615966
92	198.041558	307.504669	542.118982	252.922132
92.5	197.403249	306.574761	540.071314	252.43056
93	196.611171	305.576003	538.047777	252.016908
93.5	195.725384	304.386769	536.020385	251.570228
94	195.075723	303.345661	534.024955	251.021601
94.5	194.610288	302.585439	532.014704	250.585032
95	194.095678	301.893956	530.046437	250.024034
95.5	193.565434	301.115895	528.085827	249.363027
96	193.078968	300.408614	526.103557	248.515079
96.5	192.56033	299.752616	524.160607	247.612034
97	191.837559	299.161633	522.219137	246.754048
97.5	190.811829	298.53684	520.293783	246.088675
98	190.019541	297.955073	518.348655	245.675273
98.5	189.372173	297.104814	516.469056	245.424261
99	188.775826	295.90534	514.581249	245.136045
99.5	188.172942	294.960048	512.666606	244.893237
100	187.732949	294.02729	510.801716	244.479167
100.5	187.340495	293.003984	508.924619	243.981912
101	186.969247	292.126682	507.086321	243.557808
101.5	186.298059	291.232452	505.252873	243.180942
102	185.622209	290.488891	503.412205	242.829055
102.5	185.064517	289.922927	501.588623	242.426112
103	184.531066	289.333187	499.805939	241.576357
103.5	184.043064	288.606042	498.002772	240.43039
104	183.481192	287.759874	496.225686	239.411782
104.5	182.819822	286.804275	494.439824	238.601007
105	182.130037	285.781777	492.674847	237.889863
105.5	181.27809	284.970637	490.914358	237.200848
106	180.500746	284.143675	489.170317	236.527532
106.5	179.861609	283.428938	487.445934	235.745069
107	179.218075	282.679671	485.718373	235.035873
107.5	178.488838	281.807707	483.991663	234.608371
108	177.877758	280.961904	482.294995	234.37742
108.5	177.4179	280.346479	480.556227	234.189786
109	176.916598	279.761894	478.865585	233.894016
109.5	176.399485	279.213373	477.18001	233.305139
110	175.816719	278.590292	475.521875	232.594342
110.5	175.143166	277.73574	473.839981	231.890272
111	174.330414	277.040527	472.19566	231.255939
111.5	173.592494	276.434124	470.543169	230.849737
112	173.020422	275.743989	468.886025	230.629301
112.5	172.381586	274.843378	467.244601	230.259019
113	171.646912	274.021101	465.628756	229.791706
113.5	170.807829	273.282452	464.028858	229.138857
114	169.942575	272.596883	462.402859	228.32575
114.5	169.231954	272.020929	460.799368	227.653598
115	168.689398	271.523353	459.21663	227.225129
115.5	168.293919	270.794391	457.634706	227.019884
116	167.969185	269.995048	456.063224	226.812081
116.5	167.584	269.212249	454.514219	226.424635
117	167.155822	268.542341	452.950884	226.068118
117.5	166.686989	267.875881	451.398832	225.741387
118	166.303309	267.122851	449.856299	225.242547
118.5	165.974766	266.4328	448.312098	224.766521
119	165.648806	265.684089	446.803248	224.341316
119.5	165.340307	265.000899	445.299502	224.076167
120	165.00998	264.24832	443.786381	223.868844
120.5	164.603908	263.715429	442.296531	223.65063
121	164.211125	263.361391	440.798814	223.384725
121.5	163.836275	262.836042	439.297818	222.965569
122	163.46634	262.163413	437.840022	222.537325
122.5	163.115494	261.513835	436.353928	222.234276
123	162.75353	260.846979	434.902471	221.861502
123.5	162.371857	260.251981	433.448357	221.51647
124	161.98163	259.591606	431.988501	221.078526
124.5	161.654849	258.854619	430.547036	220.580754
125	161.318809	258.051673	429.107934	220.124374
125.5	160.877385	257.219912	427.707198	219.738832
126	160.251921	256.562326	426.265563	219.303188
126.5	159.654892	255.983816	424.835713	218.908971
127	159.100904	255.10264	423.432149	218.555966
127.5	158.52938	254.165351	422.04741	218.152617
128	157.929891	253.441269	420.658203	217.773331
128.5	157.30292	252.8311	419.271776	217.202698
129	156.814052	252.060839	417.892962	216.341115
129.5	156.346829	251.243402	416.521104	215.415978
130	155.913526	250.556871	415.128482	214.503593
130.5	155.54519	250.022202	413.797816	213.845845
131	155.117803	249.636522	412.453213	213.261571
131.5	154.605212	249.216875	411.098183	212.744307
132	154.109627	248.662421	409.763105	212.364439
132.5	153.607648	247.909344	408.414733	212.037945
133	153.084227	247.166342	407.085	211.750441
133.5	152.537062	246.397187	405.768189	211.276408
134	152.038624	245.620438	404.455713	210.79953
134.5	151.462521	244.716968	403.154629	210.37603
135	150.966609	244.048035	401.842675	210.018937
135.5	150.528862	243.441838	400.536826	209.729661
136	150.151334	243.119618	399.239734	209.514957
136.5	149.717434	242.830892	397.961774	209.331381
137	149.398072	242.338577	396.717083	208.977452
137.5	149.153897	241.769635	395.435936	208.466608
138	148.905354	241.224694	394.167542	207.932925
138.5	148.618232	240.745384	392.90661	207.397782
139	148.35842	240.273797	391.652706	206.984178
139.5	148.09725	239.880776	390.414229	206.679356
140	147.690531	239.434095	389.158933	206.308242
140.5	147.251539	238.902203	387.92725	205.853844
141	146.828801	238.274919	386.717206	205.2038
141.5	146.326932	237.500834	385.484602	204.576003
142	145.98795	236.78661	384.280061	204.118191
142.5	145.6915	236.131148	383.054504	203.738977
143	145.341305	235.34188	381.861673	203.386959
143.5	144.919853	234.433892	380.650039	203.103094
144	144.527325	233.635563	379.4623	202.693791
144.5	144.152864	233.142794	378.268149	202.200681
145	143.738333	232.61441	377.085737	201.6668
145.5	143.322038	231.930187	375.911086	201.209681
146	142.957243	231.31271	374.726044	200.882416
146.5	142.541564	230.826887	373.5687	200.605181
147	142.189581	230.45617	372.406951	200.333289
147.5	141.794565	230.015214	371.268268	199.824857
148	141.533721	229.536774	370.095272	199.205328
148.5	141.253558	229.015058	368.973494	198.707757
149	141.018123	228.472681	367.838014	198.322854
149.5	140.71569	227.930889	366.684391	198.086967
150	140.251879	227.3534	365.553417	197.898112
150.5	139.787714	226.961867	364.43091	197.672458
151	139.306397	226.544388	363.312216	197.342
151.5	138.931276	226.074592	362.192901	196.995225
152	138.555766	225.618593	361.10314	196.480743
152.5	138.123054	224.972392	360.000783	195.747979
153	137.728612	224.398461	358.900474	194.96088
153.5	137.332412	224.04308	357.779126	194.232428
154	136.895836	223.631191	356.719542	193.696599
154.5	136.34882	223.02436	355.619828	193.269549
155	135.866749	222.346563	354.575685	192.896305
155.5	135.44521	221.695475	353.49518	192.578037
156	135.082556	221.102381	352.412063	192.310556
156.5	134.761531	220.49458	351.361881	192.072662
157	134.466734	220.062283	350.312427	191.837093
157.5	134.225466	219.648696	349.236585	191.600356
158	133.961508	219.317324	348.209253	191.3995
158.5	133.651692	218.824605	347.181097	191.204466
159	133.234097	218.384433	346.13099	190.821616
159.5	132.814763	217.890182	345.112296	190.32877
160	132.460881	217.408146	344.081209	189.862245
160.5	132.170121	217.038052	343.056187	189.284551
161	131.935575	216.669308	341.997847	188.480794
161.5	131.719627	216.128643	341.016772	187.779326
162	131.440675	215.392081	340.000822	187.334902
162.5	131.150537	214.709898	339.013199	186.993717
163	130.861592	214.141777	337.999588	186.763463
163.5	130.571778	213.700075	337.010301	186.556746
164	130.301479	213.451929	336.014835	186.275686
164.5	129.927023	213.042183	335.022319	185.882761
165	129.271972	212.52187	334.068175	185.315513
165.5	128.740507	212.092053	333.049917	184.824242
166	128.352653	211.590424	332.113046	184.425262
166.5	128.061418	211.074328	331.126084	184.099461
167	127.754679	210.517512	330.151651	183.895079
167.5	127.505164	209.991288	329.198671	183.679512
168	127.190291	209.326966	328.239497	183.306643
168.5	126.832954	208.875892	327.291076	182.749211
169	126.492376	208.604203	326.333554	182.309473
169.5	126.222474	208.284382	325.395265	181.902599
170	125.971579	207.839942	324.474431	181.34823
170.5	125.778748	207.325015	323.524625	180.769177
171	125.611981	206.838861	322.595843	180.253989
171.5	125.468071	206.487757	321.684075	179.845765
172	125.301333	206.066166	320.744206	179.58737
172.5	125.05354	205.66105	319.841456	179.386761
173	124.784091	205.232641	318.925341	179.162624
173.5	124.4099	204.776051	318.028706	178.928472
174	124.055419	204.338262	317.114226	178.682675
174.5	123.774716	203.856932	316.187254	178.511669
175	123.5673	203.480724	315.31711	178.359304
175.5	123.280061	203.090529	314.431574	178.111656
176	122.949077	202.638874	313.530409	177.85819
176.5	122.655784	202.210223	312.64829	177.622667
177	122.432085	201.733828	311.773587	177.467053
177.5	122.230302	201.206423	310.874061	177.288146
178	122.075276	200.821197	309.977462	177.097828
178.5	121.905447	200.426404	309.140461	176.912172
179	121.672957	200.017386	308.279749	176.748883
179.5	121.286	199.747797	307.406064	176.607957
180	120.808463	199.491235	306.572968	176.41742
180.5	120.403025	199.270753	305.706048	176.274869
181	120.058935	198.873773	304.825014	176.015628
181.5	119.777974	198.368261	304.010382	175.634584
182	119.55374	197.823826	303.143281	175.182292
182.5	119.299947	197.305204	302.307606	174.853686
183	119.062349	196.813797	301.475541	174.611723
183.5	118.841395	196.347517	300.631817	174.378152
184	118.615008	195.864675	299.832574	174.113617
184.5	118.422546	195.491987	298.987755	173.734763
185	118.235337	195.187303	298.172827	173.169431
185.5	117.976281	194.835554	297.361287	172.529649
186	117.780707	194.371273	296.538747	171.9174
186.5	117.513535	193.820774	295.724986	171.448128
187	117.171388	193.41423	294.943627	171.133672
187.5	116.911583	193.019789	294.131919	170.852747
188	116.693177	192.526312	293.31009	170.405904
188.5	116.439353	192.094797	292.524956	169.907205
189	116.235775	191.775346	291.73466	169.484406
189.5	115.932497	191.341246	290.950908	169.113759
190	115.587711	190.799712	290.149371	168.840386
190.5	115.247989	190.228335	289.379614	168.693353
191	114.809584	189.780217	288.580568	168.533064
191.5	114.454581	189.483564	287.823238	168.311599
192	114.234217	189.181082	287.044728	167.965231
192.5	114.053134	188.870906	286.285402	167.422353
193	113.903155	188.489882	285.524062	166.852098
193.5	113.773833	188.015636	284.743773	166.343535
194	113.639076	187.657675	283.988549	165.995924
194.5	113.467583	187.33933	283.23831	165.780628
195	113.346913	186.994649	282.464813	165.606493
195.5	113.196313	186.662086	281.761152	165.394705
196	113.01035	186.261004	280.980893	165.17944
196.5	112.745499	185.825197	280.239975	165.010677
197	112.515602	185.269835	279.503821	164.85703
197.5	112.261706	184.592125	278.749809	164.651091
198	111.98337	184.081517	278.008024	164.453065
198.5	111.733404	183.823068	277.272814	164.228788
199	111.509529	183.549707	276.548713	163.985931
199.5	111.282058	183.284504	275.835731	163.725198
200	111.130276	183.054492	275.093995	163.300207
