t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,845.601739,850.0000000000014,851.040606,849.9999999999409,850.366884,849.9999999999995,845.888306,850.0000000001766,4.398261000001412,1.0406060000591424,0.36688400000048205,4.1116940001766125,0.005201338641051934,0.0012227454162852746,0.000431442012740094,0.004860800144666632
5,841.853552,843.2936074145749,849.897642,849.7970954475027,850.352399,849.9796791359139,846.298295,847.3685997101804,1.4400554145748856,0.10054655249734878,0.37271986408609337,1.0703047101803804,0.0017105771082793811,0.00011830430810555042,0.00043831223916626286,0.0012646896685292038
10,828.612238,830.7465944613788,842.774448,842.8235740831738,850.40919,849.6104560766,845.715135,845.3432828227035,2.1343564613787294,0.04912608317374634,0.7987339233999364,0.37185217729654596,0.002575820587118494,5.829090249511971E-05,0.0009392348210629479,0.00043968963295962053
12,823.024989,823.0456327703573,838.227233,838.2409622274121,850.31998,849.3731871708655,844.32819,844.6114366403704,0.02064377035731013,0.013729227412113687,0.9467928291344379,0.2832466403704075,2.5082798983288383E-05,1.6378884951013858E-05,0.0011134547598592684,0.0003354698371144134
14,817.774967,818.3340137435487,833.812946,833.8520575935652,850.138579,848.9997457740602,840.760981,842.3769673383968,0.5590467435487199,0.03911159356516691,1.138833225939834,1.6159863383967377,0.0006836192915021327,4.6906915697093185E-05,0.0013395853971001049,0.0019220520158710096
15,813.441383,814.679542250082,831.871573,833.3149478736357,849.978796,848.772549979022,837.938324,837.9370977772031,1.2381592500820489,1.443374873635662,1.2062460209780284,0.0012262227968449224,0.0015221247356701655,0.0017350933972059915,0.0014191483677647276,1.4633807306860004E-06
16,794.974435,795.0484410117555,830.058996,830.0754130898436,849.781087,848.4987985012846,835.140928,835.4156841322002,0.07400601175550037,0.016417089843571375,1.2822884987153884,0.2747561322001957,9.309231655417997E-05,1.9778220491175034E-05,0.0015089633298880285,0.0003289937338578091
17,746.679877,746.9257782503398,828.162115,828.8619763250681,849.406156,848.1735752161943,832.449553,832.9922008405417,0.24590125033978438,0.6998613250681274,1.2325807838057017,0.5426478405416901,0.0003293262051305882,0.0008450776875589478,0.001451108842453105,0.0006518687391759464
18,661.341861,661.9792746362239,819.328046,819.3607278656463,849.001838,847.792976920625,829.834024,830.5344528454993,0.6374136362238687,0.03268186564628195,1.2088610793749694,0.7004288454993457,0.0009638186750496182,3.988862068842441E-05,0.0014238615574999136,0.0008440589626864296
19,559.481138,560.1563026264457,806.526857,806.5591298108455,848.618933,847.3508612545884,827.349075,828.2158332013028,0.6751646264457349,0.03227281084559763,1.2680717454115893,0.8667582013027868,0.001206769237760675,4.0014551983601994E-05,0.001494276990649688,0.001047633009443791
20,474.53192,474.66219568387595,794.353327,794.376360659237,848.118406,846.8311021720181,824.74035,825.8145402132424,0.13027568387593647,0.023033659236944004,1.2873038279819866,1.074190213242332,0.0002745351332233593,2.8996742953081385E-05,0.001517835032083936,0.0013024586625867546
21,414.732119,414.341245135574,783.199352,783.2131040009103,847.522126,846.1998804549501,817.340077,817.3487460910005,0.39087386442599836,0.01375200091035822,1.3222455450498956,0.008669091000570006,0.0009424730965339059,1.7558749091455095E-05,0.001560131003647562,1.0606467545785114E-05
22,371.12633,371.0789901579337,772.767214,772.7928978352766,846.865282,845.4048715333553,805.256104,807.292808315939,0.04733984206632158,0.025683835276595346,1.4604104666447029,2.036704315939005,0.00012755721769005604,3.323618654012326E-05,0.0017244897124554727,0.0025292628094614293
23,339.244783,339.38915541706996,761.778097,761.8006035647697,846.022954,844.3828573457906,791.28285,791.304374067852,0.14437241706997384,0.022506564769742,1.640096654209401,0.021524067851942164,0.00042557004353394534,2.9544778011308454E-05,0.0019385959286979358,2.720148408618001E-05
24,310.908173,310.93076305344044,752.611238,754.4656612830364,844.905013,843.0710582347295,778.606175,779.2269397747941,0.022590053440467273,1.8544232830364535,1.833954765270505,0.620764774794111,7.26582811332762E-05,0.002463985640135304,0.002170604668042732,0.0007972769735535568
25,285.158063,285.28641835560376,742.652272,742.9987712447537,843.438685,841.4174005707163,766.312994,767.4254482686072,0.12835535560373046,0.3464992447536588,2.0212844292836962,1.1124542686071663,0.0004501200290581664,0.00046656996526856214,0.002396480580308806,0.0014516969923743278
26,264.634619,264.7132579782928,734.597004,734.6135836607406,841.665175,839.3861078728263,754.39234,755.7468421911752,0.07863897829281541,0.016579660740603686,2.2790671271736755,1.3545021911752428,0.00029716058537607816,2.256973640012788E-05,0.0027078073263203215,0.0017954877314571391
27,248.982589,249.4493648017983,728.180482,728.9877679339147,839.541071,836.9581261627338,742.918252,744.2965503188494,0.46677580179832034,0.8072859339147271,2.5829448372661545,1.3782983188493745,0.001874732701885112,0.0011086344029675973,0.003076615220491285,0.001855248966005178
28,236.068807,236.26040826990933,723.139271,724.6043768951672,837.010751,834.1298131105075,730.598774,732.2686432099334,0.19160126990934145,1.4651058951671985,2.880937889492543,1.6698692099333812,0.0008116331519790391,0.002026035583907873,0.0034419365414967568,0.002285617317410638
29,223.173268,223.0486991306505,716.418199,716.4457629814626,834.188776,830.9123809116343,710.521035,710.5506399691626,0.12456886934950262,0.027563981462662923,3.276395088365689,0.029604969162619454,0.0005581711038505858,3.847470862847654E-05,0.003927642258717815,4.166656257069075E-05
30,211.401681,211.4219027725787,710.001987,710.015300303774,831.053986,827.3299585012496,689.915773,691.4104879997908,0.02022177257870794,0.013313303773998086,3.724027498750388,1.4947149997908582,9.565568486992278E-05,1.8751079599440738E-05,0.004481089750468254,0.0021665180856661735
31,202.279654,202.51535398031328,705.087221,705.5171908055888,827.63726,823.4148389102634,671.320528,673.3965403441825,0.2356999803132851,0.4299698055888257,4.222421089736599,2.0760123441825726,0.0011652184273228247,0.0006098108046533802,0.005101777425700481,0.003092430899390839
32,192.656639,192.4355741231528,696.84473,696.8462473879907,823.910485,819.2027383734884,653.292554,653.3117658072084,0.22106487684720832,0.0015173879907024457,4.707746626511607,0.019211807208421305,0.0011474552758454814,2.177512328610773E-06,0.005713905469368565,2.9407662908126926E-05
33,184.962524,185.20326868425224,692.428833,691.9852132822716,819.804854,814.7292094056868,636.031485,636.3923193667772,0.24074468425223472,0.44361971772843845,5.075644594313189,0.360834366777226,0.0013015862837827338,0.000640671931303644,0.006191283900733271,0.000567321548204844
34,178.999615,179.07349676598278,679.715087,680.036947146526,815.319171,810.0272982447287,621.456121,620.9473868269636,0.07388176598277596,0.32186014652597805,5.291872755271243,0.5087341730364869,0.0004127481837476352,0.0004735221457957399,0.006490553569077358,0.0008186164008134162
35,172.28529,170.75030371260823,612.281499,612.2917512389929,810.257842,805.1255342007196,602.149999,602.1627980456096,1.5349862873917743,0.010252238992848106,5.132307799280397,0.012799045609654058,0.0089095609230003,1.674432268424316E-05,0.006334166154581195,2.1255576900954307E-05
36,164.116387,163.24418033563805,539.272349,539.3251295693047,804.507797,800.0309770592967,572.165198,572.2442867427574,0.8722066643619542,0.052780569304786695,4.476819940703308,0.07908874275733524,0.005314561697985431,9.78736799738766E-05,0.005564669425700181,0.00013822711173938832
37,157.745092,156.59452159895443,444.079059,444.46980607474916,797.917334,794.6949485436513,530.168431,530.3588683289163,1.1505704010455702,0.3907470747491857,3.222385456348661,0.19043732891623222,0.007293858632670297,0.0008799043026912596,0.004038495366674991,0.0003592015627128734
38,151.831535,150.55598009663714,375.584147,376.06840950893195,790.293464,788.9830675371957,482.156496,482.3695284201572,1.2755549033628597,0.48426250893197675,1.3103964628043059,0.21303242015721935,0.008401119723665177,0.0012893582245152024,0.0016581137545689053,0.00044183252102698904
39,145.989648,144.9483777756022,333.309368,333.6315555717888,781.582934,782.6780201394043,427.662868,427.9096057715306,1.0412702243977776,0.3221875717887883,1.0950861394043159,0.24673777153060428,0.007132493561446067,0.0009666322123559045,0.001401113166327549,0.0005769445747873632
40,141.261703,139.71414826942345,302.561506,302.8931829260726,771.678304,775.5259752843842,378.95114,379.02991749161964,1.5475547305765645,0.33167692607258914,3.847671284384205,0.07877749161963266,0.010955232010593589,0.0010962297565791106,0.004986107895530785,0.0002078829783164992
42,132.690989,131.89815071234446,262.182858,263.0063396365761,748.42414,756.6328380420211,328.89118,329.15667925111626,0.7928382876555418,0.8234816365761048,8.208698042021183,0.26549925111623907,0.005975072562429554,0.0031408675718078596,0.01096797604901037,0.0008072556129849364
44,125.334531,125.5753838465443,235.958469,236.75981785113055,721.351892,733.288419648501,296.676138,296.9705010376799,0.24085284654429984,0.8013488511305411,11.936527648500942,0.2943630376799433,0.0019216798804177905,0.003396143628693154,0.016547440688629872,0.0009922032815458295
46,118.157628,119.66900740172285,218.018238,218.77330665390005,691.157309,706.47094001448,269.600866,269.80296978709555,1.5113794017228486,0.7550686539000537,15.313631014479938,0.20210378709555243,0.012791213121871814,0.0034633279345191925,0.02215650592863793,0.0007496407192384628
48,111.979597,112.14988958913817,204.443259,205.12966722959789,659.193262,677.435162564762,246.629544,246.78983417507004,0.17029258913817102,0.6864082295978733,18.241900564761977,0.16029017507003118,0.001520746579737834,0.0033574510255575275,0.02767306891064972,0.0006499228456994235
50,106.586433,106.7013981019508,193.594172,194.25266189270138,626.670299,647.3420605335285,228.083643,228.2158630773745,0.11496510195080134,0.6584898927013967,20.671761533528525,0.13222007737451236,0.0010786091504797926,0.003401393161264156,0.032986662311131044,0.0005796999540844425
60,85.27912,86.12709923665498,159.710215,159.82560173046815,479.698095,513.2088412607403,173.68915,172.0501292318274,0.8479792366549788,0.11538673046814552,33.51074626074029,1.6390207681725997,0.009943573956379695,0.0007224755815909803,0.06985799320453898,0.009436517872144574
70,71.613661,72.75045694903783,136.062814,136.14040264115047,371.450903,409.13331380804584,142.474967,142.49947127124562,1.1367959490378325,0.07758864115047004,37.68241080804586,0.02450427124563248,0.015874009695410387,0.0005702413383165075,0.10144654516574392,0.00017199001173049918
80,61.667773,62.93973847137025,113.043312,113.12592033853235,293.725163,328.93980214630136,117.856912,118.25812094926147,1.271965471370251,0.08260833853235283,35.21463914630135,0.40120894926147344,0.02062609705997087,0.0007307671464221858,0.11988975948343027,0.0034042038133620324
90,55.407295,56.70727221575057,97.007238,98.64968381229549,235.88268,266.774616985266,99.425369,100.09109771335075,1.2999772157505731,1.6424458122954917,30.891936985266,0.6657287133507452,0.02346220323064992,0.016931167675297502,0.1309631422928805,0.0066957630637583575
100,51.264875,52.53208784833592,83.693138,85.24070678972097,191.953446,218.15062043256646,86.110696,86.91491071435631,1.267212848335916,1.5475687897209696,26.19717443256644,0.8042147143563056,0.02471892983911335,0.018490987752436402,0.13647670817311838,0.009339312672101798
